_heading,year,_year_done,_description,_dimensions,id,keywords
"Student Work, Chalmers",1903,1908,"Technical drawings of steam engine, watercolor and ink on paper, 1903, 62×90 cm",62×90 cm,ARKM.1973-05-00014,keyword
"Student Work, Chalmers",1903,1908,"Technical drawings of steam engine, watercolor and ink on paper, 1903, 62×90 cm",62×90 cm,ARKM.1973-05-00015,keyword
"Student Work, Chalmers",1903,1908,"Notebook on mechanics, 21×36 cm",21×36 cm,ARKM.1973-05-12582-001-011_ARKM.1973-05-12582-001-012,keyword
"Student Work, Chalmers",1903,1908,"Notebook on mechanics, 21×36 cm",21×36 cm,ARKM.1973-05-12582-001-015_ARKM.1973-05-12582-001-016,keyword
Travel Sketches,1906,1909,"Travel sketch from Tangermünde, ink on linen, 1906, 27×36 cm",27×36 cm,ARKM.1973-05-00013,keyword
Travel Sketches,1906,1909,"Travel sketch from Siena, pencil on paper, ca.1909, 37×28 cm",37×28 cm,ARKM.1973-05-00007,keyword
Klara School,1910,1910,"Residential quarter in Norrköping, photos on cardboard, ca. 1910, 30×22 cm",30×22 cm,ARKM.1973-103-100,keyword
Villa Gustaf L. M. Ericsson,1912,1912,"West elevation, ink on linen, 1912, 56×64 cm",56×64 cm,ARKM.1973-05-00784,keyword
Villa Gustaf L. M. Ericsson,1912,1912,"Ground floor plan, ink on linen, 1912, 64×57 cm",64×57 cm,ARKM.1973-05-00785,keyword
"Foremen’s Houses, Sandö Sågverk",1912,1912,"Elevation, ink and crayon on tracing paper, ca. 1912, 26×38 cm",26×38 cm,ARKM.1973-05-01237,keyword
"Foremen’s Houses, Sandö Sågverk",1912,1912,"Site plan, ink and pencil on tracing paper, ca. 1912, 24×37 cm",24×37 cm,ARKM.1973-05-01232,keyword
"Foremen’s Houses, Sandö Sågverk",1912,1912,"Ground floor plan, ink on tracing paper, ca. 1912, 24×37 cm",24×37 cm,ARKM.1973-05-01233,keyword
"Foremen’s Houses, Sandö Sågverk",1912,1912,"First floor plan, ink on tracing paper, ca. 1912, 24×37 cm",24×37 cm,ARKM.1973-05-01234,keyword
"Boathouse, Djurgården",1912,1912,"Elevation facing the canal, pencil on tracing paper, 1912, 33×54 cm",33×54 cm,ARKM.1973-05-08010,keyword
"Boathouse, Djurgården",1912,1912,"Side elevations, pencil on tracing paper, 1912, 33×54 cm",33×54 cm,ARKM.1973-05-08011,keyword
"Boathouse, Djurgården",1912,1912,"Ground floor plan, pencil on tracing paper, 1912, 33×54 cm",33×54 cm,ARKM.1973-05-08007,keyword
"Boathouse, Djurgården",1912,1912,"First floor plan, pencil on tracing paper, 1912, 33×54 cm",33×54 cm,ARKM.1973-05-08008,keyword
"Furniture, Carl Johanssons Möbelaffär,",1912,1912,"Sofa, photo, ca. 1912",no_size,ARKM.1973-103-2146,keyword
"Furniture, Carl Johanssons Möbelaffär,",1912,1912,"Desk and armchair, photo, ca. 1912",no_size,ARKM.1973-103-2147,keyword
"Wallpapers, Göteborgs Tapetfabrik",1913,1913,"Wallpapers, photos, ca. 1913",no_size,ARKM.1973-103-2113,keyword
"Wallpapers, Göteborgs Tapetfabrik",1913,1913,"Wallpapers, photos, ca. 1913",no_size,ARKM.1973-103-2110,keyword
"Wallpapers, Göteborgs Tapetfabrik",1913,1913,"Wallpapers, photos, ca. 1913",no_size,ARKM.1973-103-2115,keyword
"Villa Ahxner, Djursholm",1914,1914,"Garden view, photo, ca. 1914",no_size,ARKM.1973-103-006-2281,keyword
"Villa Ahxner, Djursholm",1914,1914,"Front view, photo, ca. 1914",no_size,ARKM.1973-103-006-33,keyword
"Villa Ahxner, Djursholm",1914,1914,"Elevations, ink on linen, 1914, 58×55 cm",58×55 cm,ARKM.1973-05-00148,keyword
"Villa Ahxner, Djursholm",1914,1914,"Ground floor plan, section and elevation, ink on linen, 1914, 44×59 cm",44×59 cm,ARKM.1973-05-00149,keyword
"Crematorium, Helsingborg",1914,1914,"Perspective, gouache and pencil on paper, 1914, 33×25 cm",33×25 cm,EX.13-02,keyword
"Crematorium, Helsingborg",1914,1914,"West elevation, pencil, ink and crayon on tracing paper, 1914, 22×47 cm",22×47 cm,ARKM.1973-05-05661,keyword
"Crematorium, Helsingborg",1914,1914,"Main floor plan, pencil and crayon on tracing paper, 1914, 22×44 cm",22×44 cm,ARKM.1973-05-05655,keyword
"Villa Ramén, Helsingborg",1915,1915,"East elevation, pencil on tracing paper, 1914, 33×63 cm",33×63 cm,ARKM.1973-05-00778,keyword
"Villa Ramén, Helsingborg",1915,1915,"Site plan, pencil on tracing paper, 1914, 42×50 cm",42×50 cm,ARKM.1973-05-00779,keyword
"Villa Ramén, Helsingborg",1915,1915,"The villa seen from Strandvägen, photo, ca. 1915",no_size,ARKM.1973-103-207,keyword
"Villa Ramén, Helsingborg",1915,1915,"Side facade, photo, ca. 1915",no_size,ARKM.1973-103-215,keyword
"Workers’ Housing, Forsbacka Bruk",1915,1915,"Layout plan, ink and crayon on tracing paper, 1915, 83×140 cm",83×140 cm,ARKM.1973-05-01154,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-10,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-15,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-08,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-07,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Photo included in the competition documents, 1915",no_size,ARKM.1973-103-083-07,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Layout plan, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 96×190 cm",96×190 cm,EX.11-34,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43cm",no_size,EX.11-02,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43cm",no_size,EX.11-12,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43cm",no_size,EX.11-01,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43cm",no_size,EX.11-11,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-04,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-14,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-13,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil and ink on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-05,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil, ink and photo on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-06,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil, ink and photo on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-03,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Competition panels, motto ‘Tallum’, pencil, ink and photo on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1915, 43×43 cm",43×43 cm,EX.11-09,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Elevation and section, modified proposal, pencil and ink on paper, Gunnar Asplund and Sigurd Lewerentz, 1916, 69×82 cm",69×82 cm,EX.11-16,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Site plan, modified proposal, pencil, ink and crayon on paper, 1916, 69×83 cm",69×83 cm,EX.11-20,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Sketches of paths, pencil, ink and crayon on paper, 1916, 68×68 cm",68×68 cm,EX.11-21,keyword
"Woodland Cemetery, Stockholm",1915,1915,"Layout plan of modified proposal, pencil, ink and crayon on cardboard, Gunnar Asplund and Sigurd Lewerentz, 1916, 120×220 cm",120×220 cm,EX.10-01,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"Layout plan for cemetery, ink, pencil and crayon on tracing paper, 1917, 65×82 cm",65×82 cm,ARKM.1973-05-08325,keyword
"Cemetery and Chapel, Valdemarsvik",1917,1917,"The chapel, undated photos",no_size,ARKM.1973-103-1220,keyword
